id,imdb_id,title,release_date,spoken_languages,genres1,genres2,genres3,genres4,genres5,runtime,production_companies,production_countries,budget,revenue,overview,tagline,vote_count,homepage,popularity,Unnamed: 0,actors,boxoffice,director,poster_link,production_company,vote_average,vote_average (%),Internet_Movie_Database_rating,Rotten_Tomatoes_rating,Metacritic_rating,rating_average,writer
329440,tt3387542,The Forest,1/7/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Horror, Thriller,,,,95,"[{'name': 'Lava Bear Films', 'id': 32300}, {'name': 'AI-Film', 'id': 51860}, {'name': 'Phantom Four Films', 'id': 69579}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",10000000,40055439,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",Everyone comes here looking for a way out,478,http://theforestisreal.com/,7.384688,0,"Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo","$21,818,536 ",Jason Zada,https://m.media-amazon.com/images/M/MV5BMjAwMzQzNTc5OV5BMl5BanBnXkFtZTgwNDgyMTU2NzE@._V1_SX300.jpg,Gramercy Pictures,4.8,48%,48%,10%,34%,35%,"Nick Antosca, Sarah Cornwell, Ben Ketai"
368031,tt3352390,Friend Request,1/7/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Horror, Thriller,,,,92,"[{'name': 'Wiedemann & Berg Filmproduktion', 'id': 336}, {'name': 'Seven Pictures', 'id': 1107}, {'name': 'Two Oceans Production (TOP)', 'id': 60227}","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ZA', 'name': 'South Africa'}",9900000,2400000,"Enjoying college life as a popular student, Laura shares everything with her more  than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed...",Be careful who you click with.,376,http://www.w-b-film.de/,14.282584,1,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","$3,758,792 ",Simon Verhoeven,https://m.media-amazon.com/images/M/MV5BNGFhZjQ5OTEtY2FlMy00OWM5LTlkYjAtZGUyNTE2YmVkYjc0XkEyXkFqcGdeQXVyNjkwMzU3NDI@._V1_SX300.jpg,Entertainment Studios Motion Pictures,5.3,53%,53%,17%,31%,39%,"Matthew Ballen, Philip Koch, Simon Verhoeven"
300671,tt4172430,13 Hours: The Secret Soldiers of Benghazi,1/13/2016,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}", Action, Drama,History,Thriller,War,144,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': '3 Arts Entertainment', 'id': 787}, {'name': 'Bay Films', 'id': 6734}, {'name': 'Latina Pictures', 'id': 19108}, {'name': 'Dune Films', 'id': 19477}","[{'iso_3166_1': 'MT', 'name': 'Malta'}, {'iso_3166_1': 'MA', 'name': 'Morocco'}, {'iso_3166_1': 'US', 'name': 'United States of America'}",50000000,69411370,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,"When everything went wrong, six men had the courage to do what was right.",963,http://www.thirteenhoursmovie.com/,18.022579,2,"John Krasinski, James Badge Dale, Pablo Schreiber, David Denman","$37,978,162 ",Michael Bay,https://m.media-amazon.com/images/M/MV5BYjY0OWVjMGQtNTIzZi00OGU5LWI4N2EtMGU0YzQ4OWM4ZmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Paramount Pictures,7,70%,73%,51%,48%,61%,"Chuck Hogan (screenplay), Mitchell Zuckoff (book)"
299687,tt2304933,The 5th Wave,1/14/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Adventure, Science Fiction,,,,112,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'GK Films', 'id': 3281}, {'name': 'Material Pictures', 'id': 12139}, {'name': 'LStar Capital', 'id': 34034}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",38000000,109906372,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,Protect Your Own,1993,https://www.facebook.com/5thWaveMovie/,10.788263,3,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",,J Blakeson,https://m.media-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,Sony Pictures,5.6,56%,52%,15%,33%,39%,"Susannah Grant (screenplay by), Akiva Goldsman (screenplay by), Jeff Pinkner (screenplay by), Rick Yancey (based on the novel by)"
276905,tt1594972,Norm of the North,1/14/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Adventure, Animation,Comedy,Family,,86,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Splash Entertainment', 'id': 67327}, {'name': 'Telegael', 'id': 72280}, {'name': 'Assemblage Entertainment', 'id': 72281}","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'IN', 'name': 'India'}",18000000,17062499,"The stereoscopic 3D animated family film ""Norm"" tells the story of the titular polar bear and his three Arctic lemming buddies, who are forced out into the world once their icy home begins melting and breaking apart. Landing in New York, Norm begins life anew as a performing corporate mascot, only to discover that his new employers are directly responsible for the destruction of his polar home.",Bear to be different,124,http://www.normofthenorth.movie,7.008103,4,"Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy","$12,320,716 ",Trevor Wall,https://m.media-amazon.com/images/M/MV5BNTY4MDk4Mjc4NV5BMl5BanBnXkFtZTgwNzg4OTk0NzE@._V1_SX300.jpg,Lionsgate,4.1,41%,36%,9%,21%,27%,"Daniel Altiere, Steven Altiere, Malcolm T. Goldman"
323675,tt2869728,Ride Along 2,1/14/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Action, Comedy,,,,102,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Cube Vision', 'id': 2780}, {'name': 'Will Packer Productions', 'id': 49968}, {'name': 'Reel Chefs Catering', 'id': 83397}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",40000000,124827316,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",The brothers-in-law are back,567,http://www.ridealong.com/,9.420931,5,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",,Tim Story,https://m.media-amazon.com/images/M/MV5BMTU4ODAzMzcxOV5BMl5BanBnXkFtZTgwODkxMDI1NjE@._V1_SX300.jpg,Universal Pictures,6.1,61%,59%,13%,32%,41%,"Phil Hay, Matt Manfredi, Greg Coolidge (characters)"
259694,tt1292566,How to Be Single,1/21/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Comedy, Romance,,,,110,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Flower Films', 'id': 2214}, {'name': 'Metro-Goldwyn-Mayer Pictures', 'id': 6127}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",38000000,112343513,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",Welcome to the party,1225,http://howtobesinglemovie.com/,8.898988,6,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",,Christian Ditter,https://m.media-amazon.com/images/M/MV5BNzI4MDMwMzUwNF5BMl5BanBnXkFtZTgwMDgyNzkyNzE@._V1_SX300.jpg,Warner Bros. Pictures,5.9,59%,61%,46%,51%,54%,"Abby Kohn (screenplay), Marc Silverstein (screenplay), Dana Fox (screenplay), Abby Kohn (screen story), Marc Silverstein (screen story), Liz Tuccillo (book)"
291870,tt1860213,Dirty Grandpa,1/21/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Comedy,,,,,102,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Josephson Entertainment', 'id': 1894}, {'name': 'QED International', 'id': 11029}, {'name': ""Ninjas Runnin' Wild Productions"", 'id': 28200}, {'name': 'Covert Media', 'id': 73666}, {'name': 'BillBlock Media', 'id': 90185}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",11500000,94073028,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",This is Jason. He's a little worried about his grandpa.,1429,http://www.dirtygrandpa.movie/,16.290586,7,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","$34,690,808 ",Dan Mazer,https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,Lionsgate Films,5.7,57%,59%,11%,21%,37%,John Phillips
308453,tt3859304,The Bronze,1/22/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Drama, Comedy,,,,108,"[{'name': 'Duplass Brothers Productions', 'id': 1974}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",3500000,615816,"In 2004, Hope Ann Greggory became an American hero after winning the bronze medal for the women's gymnastics team. Today, she's still living in her small hometown, washed-up and embittered. Stuck in the past, Hope must reassess her life when a promising young gymnast threatens her local celebrity status.",There's no place like third.,112,http://sonyclassics.com/thebronze/,5.353826,8,"Melissa Rauch, Gary Cole, Thomas Middleditch, Sebastian Stan","$614,920 ",Bryan Buckley,https://m.media-amazon.com/images/M/MV5BMTUxMzI2Mzc5Ml5BMl5BanBnXkFtZTgwODQzOTU2NzE@._V1_SX300.jpg,Relativity Entertainment,5.5,55%,60%,35%,44%,49%,"Melissa Rauch, Winston Rauch"
321258,tt3882082,The Boy,1/22/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Horror, Mystery,Thriller,,,97,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Diamond Films', 'id': 2912}, {'name': 'Showtime Networks', 'id': 18880}, {'name': 'STX Entertainment', 'id': 47729}","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'CA', 'name': 'Canada'}",10000000,64188367,"A nanny, working for a family whose son has just passed away, finds herself put in charge of caring for a lifelike doll that the couple treat as a real child.",Every child needs to feel loved.,1133,http://theboymovie.tumblr.com/,17.028854,9,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","$30,196,680 ",William Brent Bell,https://m.media-amazon.com/images/M/MV5BMTc1MjcxNzcwMV5BMl5BanBnXkFtZTgwMTE0NTE2NzE@._V1_SX300.jpg,STX Entertainment,5.8,58%,60%,30%,42%,48%,Stacey Menear
