,actors,boxoffice,director,poster_link,production_company,ratings,writer
0,"Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo","$21,818,536",Jason Zada,https://m.media-amazon.com/images/M/MV5BMjAwMzQzNTc5OV5BMl5BanBnXkFtZTgwNDgyMTU2NzE@._V1_SX300.jpg,Gramercy Pictures,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '34/100'}]","Nick Antosca, Sarah Cornwell, Ben Ketai"
1,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","$3,758,792",Simon Verhoeven,https://m.media-amazon.com/images/M/MV5BNGFhZjQ5OTEtY2FlMy00OWM5LTlkYjAtZGUyNTE2YmVkYjc0XkEyXkFqcGdeQXVyNjkwMzU3NDI@._V1_SX300.jpg,Entertainment Studios Motion Pictures,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '31/100'}]","Matthew Ballen, Philip Koch, Simon Verhoeven"
2,"John Krasinski, James Badge Dale, Pablo Schreiber, David Denman","$37,978,162",Michael Bay,https://m.media-amazon.com/images/M/MV5BYjY0OWVjMGQtNTIzZi00OGU5LWI4N2EtMGU0YzQ4OWM4ZmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Paramount Pictures,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '48/100'}]","Chuck Hogan (screenplay), Mitchell Zuckoff (book)"
3,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",N/A,J Blakeson,https://m.media-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,Sony Pictures,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '33/100'}]","Susannah Grant (screenplay by), Akiva Goldsman (screenplay by), Jeff Pinkner (screenplay by), Rick Yancey (based on the novel by)"
4,"Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy","$12,320,716",Trevor Wall,https://m.media-amazon.com/images/M/MV5BNTY4MDk4Mjc4NV5BMl5BanBnXkFtZTgwNzg4OTk0NzE@._V1_SX300.jpg,Lionsgate,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '21/100'}]","Daniel Altiere, Steven Altiere, Malcolm T. Goldman"
5,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",N/A,Tim Story,https://m.media-amazon.com/images/M/MV5BMTU4ODAzMzcxOV5BMl5BanBnXkFtZTgwODkxMDI1NjE@._V1_SX300.jpg,Universal Pictures,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '32/100'}]","Phil Hay, Matt Manfredi, Greg Coolidge (characters)"
6,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",N/A,Christian Ditter,https://m.media-amazon.com/images/M/MV5BNzI4MDMwMzUwNF5BMl5BanBnXkFtZTgwMDgyNzkyNzE@._V1_SX300.jpg,Warner Bros. Pictures,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","Abby Kohn (screenplay), Marc Silverstein (screenplay), Dana Fox (screenplay), Abby Kohn (screen story), Marc Silverstein (screen story), Liz Tuccillo (book)"
7,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","$34,690,808",Dan Mazer,https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,Lionsgate Films,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",John Phillips
8,"Melissa Rauch, Gary Cole, Thomas Middleditch, Sebastian Stan","$614,920",Bryan Buckley,https://m.media-amazon.com/images/M/MV5BMTUxMzI2Mzc5Ml5BMl5BanBnXkFtZTgwODQzOTU2NzE@._V1_SX300.jpg,Relativity Entertainment,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","Melissa Rauch, Winston Rauch"
9,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","$30,196,680",William Brent Bell,https://m.media-amazon.com/images/M/MV5BMTc1MjcxNzcwMV5BMl5BanBnXkFtZTgwMTE0NTE2NzE@._V1_SX300.jpg,STX Entertainment,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",Stacey Menear
